set,i,instance,n,d,floor,strategy,best_rho,gap,n_eval,wall,budget
circulant,4,"C40(1,2)",40,4,3.464102,randcon,3.299831,-0.164271,2000,0.225,2000
circulant,4,"C40(1,2)",40,4,3.464102,random,3.071701,-0.392401,2000,0.21,2000
circulant,4,"C40(1,2)",40,4,3.464102,anneal,2.887692,-0.576409,2000,0.195,2000
circulant,4,"C40(1,2)",40,4,3.464102,tabu,2.847561,-0.616541,2000,0.189,2000
circulant,5,"C44(1,2)",44,4,3.464102,family,2.81045,-0.653652,2000,0.28,2000
circulant,5,"C44(1,2)",44,4,3.464102,randcon,3.408209,-0.055892,2000,0.263,2000
circulant,5,"C44(1,2)",44,4,3.464102,random,3.070377,-0.393725,2000,0.258,2000
circulant,5,"C44(1,2)",44,4,3.464102,anneal,2.90052,-0.563581,2000,0.236,2000
circulant,5,"C44(1,2)",44,4,3.464102,tabu,2.824146,-0.639955,2000,0.224,2000
circulant,6,"C48(1,2)",48,4,3.464102,family,2.813315,-0.650787,2000,0.311,2000
circulant,6,"C48(1,2)",48,4,3.464102,randcon,3.261478,-0.202623,2000,0.291,2000
circulant,6,"C48(1,2)",48,4,3.464102,random,3.08157,-0.382531,2000,0.28,2000
circulant,6,"C48(1,2)",48,4,3.464102,anneal,2.881089,-0.583013,2000,0.27,2000
circulant,6,"C48(1,2)",48,4,3.464102,tabu,2.837807,-0.626295,2000,0.239,2000
circulant,7,"C52(1,2)",52,4,3.464102,family,2.815546,-0.648555,2000,0.356,2000
circulant,7,"C52(1,2)",52,4,3.464102,randcon,3.425415,-0.038687,2000,0.319,2000
circulant,7,"C52(1,2)",52,4,3.464102,random,3.119463,-0.344638,2000,0.323,2000
circulant,7,"C52(1,2)",52,4,3.464102,anneal,2.993802,-0.4703,2000,0.278,2000
circulant,7,"C52(1,2)",52,4,3.464102,tabu,2.85632,-0.607782,2000,0.263,2000
circulant,8,"C56(1,2)",56,4,3.464102,family,2.817318,-0.646784,2000,0.371,2000
circulant,8,"C56(1,2)",56,4,3.464102,randcon,3.669224,0.205123,2000,0.347,2000
circulant,8,"C56(1,2)",56,4,3.464102,random,3.152107,-0.311995,2000,0.332,2000
circulant,8,"C56(1,2)",56,4,3.464102,anneal,3.064046,-0.400056,2000,0.321,2000
circulant,8,"C56(1,2)",56,4,3.464102,tabu,2.846648,-0.617454,2000,0.337,2000
circulant,9,"C60(1,2)",60,4,3.464102,family,2.818748,-0.645354,2000,0.531,2000
circulant,9,"C60(1,2)",60,4,3.464102,randcon,3.400285,-0.063817,2000,0.463,2000
circulant,9,"C60(1,2)",60,4,3.464102,random,3.127384,-0.336718,2000,0.425,2000
circulant,9,"C60(1,2)",60,4,3.464102,anneal,3.047081,-0.417021,2000,0.391,2000
circulant,9,"C60(1,2)",60,4,3.464102,tabu,2.855189,-0.608913,2000,0.332,2000
circulant,10,"C64(1,2)",64,4,3.464102,family,2.819918,-0.644183,2000,0.43,2000
circulant,10,"C64(1,2)",64,4,3.464102,randcon,3.416666,-0.047436,2000,0.423,2000
circulant,10,"C64(1,2)",64,4,3.464102,random,3.097869,-0.366233,2000,0.42,2000
circulant,10,"C64(1,2)",64,4,3.464102,anneal,3.067458,-0.396644,2000,0.382,2000
circulant,10,"C64(1,2)",64,4,3.464102,tabu,2.849383,-0.614719,2000,0.381,2000
circulant,11,"C68(1,2)",68,4,3.464102,family,2.820889,-0.643213,2000,0.585,2000
circulant,11,"C68(1,2)",68,4,3.464102,randcon,3.59731,0.133208,2000,0.566,2000
circulant,11,"C68(1,2)",68,4,3.464102,random,3.157512,-0.30659,2000,0.568,2000
circulant,11,"C68(1,2)",68,4,3.464102,anneal,3.063285,-0.400817,2000,0.505,2000
circulant,11,"C68(1,2)",68,4,3.464102,tabu,2.862513,-0.601589,2000,0.463,2000
circulant,12,"C72(1,2)",72,4,3.464102,family,2.821702,-0.642399,2000,0.563,2000
circulant,12,"C72(1,2)",72,4,3.464102,randcon,3.456527,-0.007575,2000,0.565,2000
circulant,12,"C72(1,2)",72,4,3.464102,random,3.164152,-0.299949,2000,0.512,2000
circulant,12,"C72(1,2)",72,4,3.464102,anneal,3.07089,-0.393212,2000,0.493,2000
circulant,12,"C72(1,2)",72,4,3.464102,tabu,3.113925,-0.350177,2000,0.492,2000
circulant,13,"C76(1,2)",76,4,3.464102,family,2.822391,-0.641711,2000,0.638,2000
circulant,13,"C76(1,2)",76,4,3.464102,randcon,3.515232,0.05113,2000,0.597,2000
circulant,13,"C76(1,2)",76,4,3.464102,random,3.119123,-0.344978,2000,0.56,2000
circulant,13,"C76(1,2)",76,4,3.464102,anneal,3.112101,-0.352001,2000,0.531,2000
circulant,13,"C76(1,2)",76,4,3.464102,tabu,3.108302,-0.3558,2000,0.516,2000
